fake, state
Lucerne, CA
Ludlow, CA
Lyoth, CA
Macdoel, CA
Mad River, CA
Madeline, CA
Madera, CA
Madison, CA
Magalia, CA
Mammoth Lakes, CA
Manchester, CA
Manteca, CA
Manton, CA
Marina, CA
Mariposa, CA
Markleeville, CA
Marshall, CA
Martell, CA
Martinez, CA
Marysville, CA
Mather, CA
Maxwell, CA
Mc Farland, CA
Mc Kittrick, CA
Mcarthur, CA
Mcclellan, CA
Mccloud, CA
Mckinleyville, CA
Meadow Valley, CA
Meadow Vista, CA
Mendocino, CA
Mendota, CA
Merced, CA
Meridian, CA
Mi Wuk Village, CA
Middletown, CA
Midpines, CA
Milford, CA
Mill Creek, CA
Millville, CA
Mineral, CA
Miramonte, CA
Miranda, CA
Mission Hills, CA
Moccasin, CA
Modesto, CA
Mokelumne Hill, CA
Mono Hot Springs, CA
Monrovia, CA
Montague, CA
Montclair, CA
Monterey, CA
Montgomery Creek, CA
Montrose, CA
Mount Aukum, CA
Mount Hermon, CA
Mount Shasta, CA
Mount Wilson, CA
Mountain Pass, CA
Mountain Ranch, CA
Mountain View, CA
Mt Baldy, CA
Murphys, CA
Myers Flat, CA
Navarro, CA
Nelson, CA
Nevada City, CA
Newcastle, CA
Newhall, CA
Newman, CA
Nice, CA
Nicolaus, CA
Niland, CA
Nipton, CA
Norden, CA
North Fork, CA
North Highlands, CA
North Hills, CA
North San Juan, CA
Northridge, CA
Nubieber, CA
O Neals, CA
Oak Run, CA
Oakdale, CA
Oakhurst, CA
Obrien, CA
Oceano, CA
Ocotillo, CA
Olancha, CA
Old Station, CA
Olivehurst, CA
Olympic Valley, CA
Orange Cove, CA
Orangevale, CA
Oregon House, CA
Orick, CA
Orland, CA
Orleans, CA
Orosi, CA
Oroville, CA
Pacific Palisades, CA
Palermo, CA
Palo Cedro, CA
Palo Verde, CA
Palos Verdes Peninsula, CA
Panorama City, CA
Paradise, CA
Parlier, CA
Paskenta, CA
Paso Robles, CA
Patterson, CA
Patton, CA
Paynes Creek, CA
Pebble Beach, CA
Penn Valley, CA
Penryn, CA
Petrolia, CA
Phillipsville, CA
Philo, CA
Piedra, CA
Piercy, CA
Pilot Hill, CA
Pine Grove, CA
Pinecrest, CA
Pinon Hills, CA
Pioneer, CA
Pittsburg, CA
Pixley, CA
Placerville, CA
Planada, CA
Platina, CA
Playa Del Rey, CA
Pleasant Grove, CA
Pleasant Hill, CA
Plymouth, CA
Point Arena, CA
Pollock Pines, CA
Pope Valley, CA
Port Costa, CA
Porterville, CA
Portola, CA
Posey, CA
Potrero, CA
Potter Valley, CA
Prather, CA
Princeton, CA
Proberta, CA
Quincy, CA
Rackerby, CA
Rail Road Flat, CA
Raisin, CA
Rancho Cordova, CA
Rancho Palos Verdes, CA
Ravendale, CA
Raymond, CA
Red Bluff, CA
Redcrest, CA
Redding, CA
Redway, CA
Redwood Estates, CA
Redwood Valley, CA
Reedley, CA
Represa, CA
Rescue, CA
Richgrove, CA
Richvale, CA
Ridgecrest, CA
Rio Dell, CA
Rio Linda, CA
Rio Oso, CA
Ripon, CA
River Pines, CA
Riverbank, CA
Riverdale, CA
Robbins, CA
Rocklin, CA
Rodeo, CA
Roseville, CA
Rough And Ready, CA
Round Mountain, CA
Rumsey, CA
Ryde, CA
Sacramento, CA
Saint Helena, CA
Salida, CA
Salton City, CA
Salyer, CA
Samoa, CA
San Andreas, CA
San Ardo, CA
San Fernando, CA
San Gregorio, CA
San Joaquin, CA
San Lucas, CA
San Martin, CA
San Mateo, CA
San Miguel, CA
San Pedro, CA
San Quentin, CA
San Ysidro, CA
Sanger, CA
Santa Rita Park, CA
Scotia, CA
Scott Bar, CA
Sebastopol, CA
Seeley, CA
Seiad Valley, CA
Selma, CA
Sequoia National Park, CA
Shasta, CA
Shasta Lake, CA
Shaver Lake, CA
Sheep Ranch, CA
Sheridan, CA
Sherman Oaks, CA
Shingle Springs, CA
Shingletown, CA
Shoshone, CA
Sierra City, CA
Sierraville, CA
Sloughhouse, CA
Smartville, CA
Smith River, CA
Snelling, CA
Soda Springs, CA
Solvang, CA
Somerset, CA
Somes Bar, CA
Sonora, CA
Soulsbyville, CA
South Dos Palos, CA
South Lake Tahoe, CA
Spring Valley, CA
Springville, CA
Squaw Valley, CA
Standard, CA
Standish, CA
Stanford, CA
Stevinson, CA
Stirling City, CA
Stockton, CA
Stonyford, CA
Storrie, CA
Stratford, CA
Strathmore, CA
Strawberry, CA
Strawberry Valley, CA
Suisun City, CA
Sultana, CA
Sun Valley, CA
Sunland, CA
Sunset Beach, CA
Surfside, CA
Susanville, CA
Sutter, CA
Sutter Creek, CA
Sylmar, CA
Tahoe City, CA
Tahoe Vista, CA
Tahoma, CA
Talmage, CA
Taylorsville, CA
Tecopa, CA
Tehama, CA
Termo, CA
Terra Bella, CA
The Sea Ranch, CA
Thornton, CA
Three Rivers, CA
Tipton, CA
Tollhouse, CA
Toluca Lake, CA
Topaz, CA
Tracy, CA
Tranquillity, CA
Traver, CA
Trinidad, CA
Trinity Center, CA
Trona, CA
Truckee, CA
Tujunga, CA
Tulare, CA
Tulelake, CA
Tuolumne, CA
Turlock, CA
Twain, CA
Twain Harte, CA
Twin Bridges, CA
Twin Peaks, CA
Ukiah, CA
Universal City, CA
Upper Lake, CA
Valencia, CA
Vallecito, CA
Valley Springs, CA
Valley Village, CA
Venice, CA
Verdugo City, CA
Vernalis, CA
Victor, CA
Villa Grande, CA
Vina, CA
Vineburg, CA
Vinton, CA
Visalia, CA
Volcano, CA
Wallace, CA
Walnut Grove, CA
Washington, CA
Waterford, CA
Waukena, CA
Weaverville, CA
Weed, CA
Weimar, CA
Wendel, CA
Weott, CA
West Hills, CA
West Point, CA
West Sacramento, CA
Westley, CA
Westmorland, CA
Westport, CA
Westwood, CA
Wheatland, CA
Whiskeytown, CA
White Water, CA
Whitethorn, CA
Whitmore, CA
Williams, CA
Willits, CA
Willow Creek, CA
Willows, CA
Wilmington, CA
Wilseyville, CA
Wilton, CA
Windsor, CA
Winnetka, CA
Winterhaven, CA
Winters, CA
Winton, CA
Wishon, CA
Witter Springs, CA
Woodbridge, CA
Woodlake, CA
Woodland, CA
Woodland Hills, CA
Woody, CA
Yettem, CA
Yolo, CA
Yorkville, CA
Yosemite National Park, CA
Yreka, CA
Yuba City, CA
Zamora, CA
Zenia, CA
Agate, CO
Aguilar, CO
Alamosa, CO
Almont, CO
Amherst, CO
Anton, CO
Antonito, CO
Arapahoe, CO
Arboles, CO
Arlington, CO
Aspen, CO
Austin, CO
Avon, CO
Avondale, CO
Bailey, CO
Basalt, CO
Battlement Mesa, CO
Bayfield, CO
Bedrock, CO
Bethune, CO
Beulah, CO
Black Hawk, CO
Blanca, CO
Boncarbo, CO
Bond, CO
Boone, CO
Branson, CO
Briggsdale, CO
Buena Vista, CO
Buffalo Creek, CO
Burns, CO
Cahone, CO
Campo, CO
Canon City, CO
Capulin, CO
Carbondale, CO
Carr, CO
Cascade, CO
Cedaredge, CO
Center, CO
Central City, CO
Chama, CO
Cheraw, CO
Chimney Rock, CO
Chromo, CO
Cimarron, CO
Clark, CO
Clifton, CO
Climax, CO
Coaldale, CO
Coalmont, CO
Collbran, CO
Colorado City, CO
Como, CO
Conejos, CO
Conifer, CO
Cope, CO
Cortez, CO
Cory, CO
Cotopaxi, CO
Cowdrey, CO
Craig, CO
Crawford, CO
Creede, CO
Crested Butte, CO
Crestone, CO
Crowley, CO
De Beque, CO
Del Norte, CO
Delta, CO
Dinosaur, CO
Dolores, CO
Dove Creek, CO
Drake, CO
Dumont, CO
Dupont, CO
Durango, CO
Eads, CO
Eagle, CO
Eastlake, CO
Eckert, CO
Eckley, CO
Edwards, CO
Egnar, CO
Empire, CO
Evergreen, CO
Florence, CO
Fort Garland, CO
Fort Lyon, CO
Fowler, CO
Fraser, CO
Fruita, CO
Galeton, CO
Garcia, CO
Gardner, CO
Gateway, CO
Georgetown, CO
Gilcrest, CO
Gill, CO
Glade Park, CO
Glen Haven, CO
Glenwood Springs, CO
Granada, CO
Granby, CO
Grand Junction, CO
Grand Lake, CO
Granite, CO
Grant, CO
Gulnare, CO
Gunnison, CO
Gypsum, CO
Hamilton, CO
Hartman, CO
Hartsel, CO
Hasty, CO
Haswell, CO
Hayden, CO
Henderson, CO
Hereford, CO
Hesperus, CO
Hillside, CO
Hoehne, CO
Holly, CO
Homelake, CO
Hooper, CO
Hot Sulphur Springs, CO
Hotchkiss, CO
Howard, CO
Hygiene, CO
Idaho Springs, CO
Idalia, CO
Ignacio, CO
Jaroso, CO
Jefferson, CO
Joes, CO
Karval, CO
Kim, CO
Kirk, CO
Kremmling, CO
La Jara, CO
La Junta, CO
La Veta, CO
Lake City, CO
Lake George, CO
Lamar, CO
Las Animas, CO
Lazear, CO
Leadville, CO
Lewis, CO
Lindon, CO
Livermore, CO
Loma, CO
Lucerne, CO
Mack, CO
Maher, CO
Manassa, CO
Mancos, CO
Manzanola, CO
Marvel, CO
Masonville, CO
Matheson, CO
Maybell, CO
Mc Clave, CO
Mc Coy, CO
Meeker, CO
Meredith, CO
Mesa, CO
Mesa Verde National Park, CO
Minturn, CO
Model, CO
Moffat, CO
Molina, CO
Monarch, CO
Monte Vista, CO
Montrose, CO
Mosca, CO
Nathrop, CO
Naturita, CO
New Castle, CO
New Raymer, CO
Norwood, CO
Nucla, CO
Oak Creek, CO
Ohio City, CO
Olathe, CO
Olney Springs, CO
Ophir, CO
Ordway, CO
Ouray, CO
Pagosa Springs, CO
Palisade, CO
Paoli, CO
Paonia, CO
Parachute, CO
Paradox, CO
Parlin, CO
Parshall, CO
Peetz, CO
Penrose, CO
Phippsburg, CO
Pine, CO
Pinecliffe, CO
Pitkin, CO
Placerville, CO
Pleasant View, CO
Poncha Springs, CO
Powderhorn, CO
Pritchett, CO
Pueblo, CO
Rand, CO
Rangely, CO
Red Cliff, CO
Redvale, CO
Rico, CO
Ridgway, CO
Rifle, CO
Rockvale, CO
Rocky Ford, CO
Roggen, CO
Rollinsville, CO
Romeo, CO
Rush, CO
Rye, CO
Saguache, CO
Salida, CO
San Luis, CO
San Pablo, CO
Sanford, CO
Sargents, CO
Seibert, CO
Shawnee, CO
Sheridan Lake, CO
Silt, CO
Silver Plume, CO
Silverton, CO
Slater, CO
Snowmass, CO
Snowmass Village, CO
Somerset, CO
South Fork, CO
Springfield, CO
Starkville, CO
Steamboat Springs, CO
Stoneham, CO
Sugar City, CO
Swink, CO
Tabernash, CO
Telluride, CO
Toponas, CO
Towaoc, CO
Trinchera, CO
Trinidad, CO
Two Buttes, CO
Vail, CO
Vernon, CO
Vilas, CO
Villa Grove, CO
Walden, CO
Walsenburg, CO
Walsh, CO
Westcliffe, CO
Weston, CO
Wetmore, CO
Whitewater, CO
Wild Horse, CO
Wiley, CO
Winter Park, CO
Wolcott, CO
Woodrow, CO
Woody Creek, CO
Wray, CO
Yampa, CO
Yellow Jacket, CO
Yoder, CO
Abington, CT
Amston, CT
Andover, CT
Ansonia, CT
Ashford, CT
Avon, CT
Ballouville, CT
Baltic, CT
Bantam, CT
Barkhamsted, CT
Beacon Falls, CT
Berlin, CT
Bethany, CT
Bethel, CT
Bethlehem, CT
Bloomfield, CT
Bolton, CT
Botsford, CT
Bozrah, CT
Branford, CT
Bridgeport, CT
Bridgewater, CT
Bristol, CT
Broad Brook, CT
Brookfield, CT
Brooklyn, CT
Burlington, CT
Canaan, CT
Canterbury, CT
Canton, CT
Canton Center, CT
Centerbrook, CT
Central Village, CT
Chaplin, CT
Cheshire, CT
Chester, CT
Clinton, CT
Cobalt, CT
Colchester, CT
Colebrook, CT
Collinsville, CT
Columbia, CT
Cornwall, CT
Cornwall Bridge, CT
Cos Cob, CT
Coventry, CT
Cromwell, CT
Danbury, CT
Danielson, CT
Darien, CT
Dayville, CT
Deep River, CT
Derby, CT
Durham, CT
East Berlin, CT
East Canaan, CT
East Glastonbury, CT
East Granby, CT
East Haddam, CT
East Hampton, CT
East Hartford, CT
East Hartland, CT
East Haven, CT
East Killingly, CT
East Lyme, CT
East Windsor, CT
East Windsor Hill, CT
East Woodstock, CT
Eastford, CT
Easton, CT
Ellington, CT
Enfield, CT
Essex, CT
Fabyan, CT
Fairfield, CT
Falls Village, CT
Farmington, CT
Gales Ferry, CT
Gaylordsville, CT
Georgetown, CT
Gilman, CT
Glasgo, CT
Glastonbury, CT
Goshen, CT
Granby, CT
Greens Farms, CT
Greenwich, CT
Grosvenor Dale, CT
Groton, CT
Guilford, CT
Haddam, CT
Hadlyme, CT
Hamden, CT
Hampton, CT
Hanover, CT
Hartford, CT
Harwinton, CT
Hawleyville, CT
Hebron, CT
Higganum, CT
Ivoryton, CT
Jewett City, CT
Kent, CT
Killingworth, CT
Lakeside, CT
Lakeville, CT
Lebanon, CT
